[	X	nmod	CISCO
'	PUNCT	punct	CISCO
CISCO	PROPN	ROOT	CISCO
'	PUNCT	punct	CISCO
,	PUNCT	punct	CISCO
'	PUNCT	punct	Software
Software	PROPN	conj	CISCO
'	PUNCT	punct	Software
,	PUNCT	punct	Software
'	PUNCT	punct	Developer
Developer	PROPN	appos	Software
'	PUNCT	punct	Developer
,	PUNCT	punct	CISCO
'	PUNCT	punct	Analyst
Analyst	PROPN	appos	CISCO
'	PUNCT	punct	Analyst
,	PUNCT	punct	CISCO
'	PUNCT	punct	Trainee
Trainee	NOUN	appos	CISCO
'	PUNCT	punct	Trainee
,	PUNCT	punct	CISCO
'	PUNCT	punct	OCT
OCT	PROPN	conj	CISCO
'	PUNCT	punct	OCT
,	PUNCT	punct	CISCO
'	PUNCT	punct	2018
2018	NUM	conj	CISCO
'	PUNCT	punct	2018
,	PUNCT	punct	CISCO
'	PUNCT	punct	May
May	PROPN	conj	CISCO
'	PUNCT	punct	May
,	PUNCT	punct	May
'	PUNCT	punct	2019
2019	NUM	appos	May
'	PUNCT	punct	2019
,	PUNCT	punct	CISCO
'	PUNCT	punct	Developed
Developed	PROPN	conj	CISCO
'	PUNCT	punct	Developed
,	PUNCT	punct	CISCO
'	PUNCT	punct	A
A	PROPN	appos	CISCO
'	PUNCT	punct	A
,	PUNCT	punct	A
'	PUNCT	punct	sync
sync	NOUN	appos	A
'	PUNCT	punct	sync
,	PUNCT	punct	A
'	PUNCT	punct	Functions
Functions	NOUN	appos	A
'	PUNCT	punct	Functions
,	PUNCT	punct	Functions
'	PUNCT	punct	connect
connect	NOUN	appos	Functions
'	PUNCT	punct	connect
,	PUNCT	punct	A
'	PUNCT	punct	ML
ML	NOUN	appos	A
'	PUNCT	punct	ML
,	PUNCT	punct	A
'	PUNCT	punct	Applications
Applications	NOUN	appos	A
'	PUNCT	punct	Applications
,	PUNCT	punct	A
'	PUNCT	punct	databases
databases	NOUN	appos	A
'	PUNCT	punct	databases
,	PUNCT	punct	A
'	PUNCT	punct	clients
clients	NOUN	appos	A
'	PUNCT	punct	clients
,	PUNCT	punct	A
'	PUNCT	punct	B
B	NOUN	appos	A
'	PUNCT	punct	B
,	PUNCT	punct	B
