[	X	nmod	Machine
'	PUNCT	punct	Machine
Machine	NOUN	ROOT	Machine
'	PUNCT	punct	Machine
,	PUNCT	punct	Machine
'	PUNCT	punct	Learning
Learning	NOUN	appos	Machine
'	PUNCT	punct	Learning
,	PUNCT	punct	Machine
'	PUNCT	punct	Machine
Engineering	NOUN	appos	Machine
'	PUNCT	punct	Engineering
,	PUNCT	punct	Machine
'	PUNCT	punct	Machine
13585ABC	NOUN	appos	Machine
'	PUNCT	punct	13585ABC
,	PUNCT	punct	Machine
'	PUNCT	punct	Knowledge
Knowledge	NOUN	appos	Machine
'	PUNCT	punct	Knowledge
,	PUNCT	punct	Machine
'	PUNCT	punct	Machine
and	CCONJ	appos	Machine
'	PUNCT	punct	Machine
,	PUNCT	punct	Machine
'	PUNCT	punct	Innovation
Innovation	NOUN	appos	Machine
'	PUNCT	punct	Innovation
,	PUNCT	punct	Machine
'	PUNCT	punct	What
What	PRON	appos	Machine
'	PUNCT	punct	What
,	PUNCT	punct	What
'	PUNCT	punct	you
you	PRON	appos	What
'	PUNCT	punct	you
,	PUNCT	punct	you
'll	PUNCT	punct	Machine
'	PUNCT	punct	Machine
,	PUNCT	punct	Machine
'	PUNCT	punct	Machine
do	AUX	appos	Machine
'	PUNCT	punct	do
,	PUNCT	punct	Machine
'	PUNCT	punct	You
You	PRON	appos	Machine
'	PUNCT	punct	You
,	PUNCT	punct	You
'	PUNCT	punct	will
will	NOUN	appos	You
'	PUNCT	punct	will
,	PUNCT	punct	will
'	PUNCT	punct	focus
focus	NOUN	appos	Machine
'	PUNCT	punct	focus
,	PUNCT	punct	focus
'	PUNCT	punct	on
on	NOUN	conj	focus
'	PUNCT	punct	on
,	PUNCT	punct	on
'	PUNCT	punct	researching
researching	NOUN	appos	focus
'	PUNCT	punct	researching
,	PUNCT	punct	researching
'	PUNCT	punct	building
building	NOUN	appos	researching
'	PUNCT	punct	building
,	PUNCT	punct	building
'	PUNCT	punct	building
and	CCONJ	cc	Machine
'	PUNCT	punct	Machine
,	PUNCT	punct	Machine
'	PUNCT	punct	designing
designing	NOUN	appos	Machine
'	PUNCT	punct	designing
,	PUNCT	punct	designing
'	PUNCT	punct	self
self	NOUN	appos	designing
'	PUNCT	punct	self
,	PUNCT	punct	self
'	PUNCT	punct	running
running	NOUN	appos	self
'	PUNCT	punct	running
,	PUNCT	punct	running
'	PUNCT	punct	artificial
artificial	ADJ	appos	designing
'	PUNCT	punct	artificial
,	PUNCT	punct	artificial
'	PUNCT	punct	intelligence
intelligence	NOUN	appos	artificial
'	PUNCT	punct	intelligence
,	PUNCT	punct	intelligence
'	PUNCT	punct	intelligence
AI	NOUN	appos	intelligence
'	PUNCT	punct	artificial
,	PUNCT	punct	artificial
'	PUNCT	punct	systems
systems	NOUN	appos	designing
'	PUNCT	punct	systems
,	PUNCT	punct	systems
'	PUNCT	punct	systems
to	X	appos	systems
